year,month,day,Upwelling (m^2/s)
1986,   9,  26,0.2812
1986,   9,  27,0.2016
1986,   9,  28,0.5783
1986,   9,  29,0.7661
1986,   9,  30,0.6850
1986,  10,   1,0.8339
1986,  10,   2,0.2109
1986,  10,   3,-0.0642
1986,  10,   4,0.1913
1986,  10,   5,0.4607
1986,  10,   6,0.3509
1986,  10,   7,0.2558
1986,  10,   8,0.0718
1986,  10,   9,0.0916
1986,  10,  10,0.3977
1986,  10,  11,0.4753
1986,  10,  12,0.1661
1986,  10,  13,0.1961
1986,  10,  14,0.2936
1986,  10,  15,0.7472
1986,  10,  16,0.4440
1986,  10,  17,1.0844
1986,  10,  18,1.8772
1986,  10,  19,0.7932
1986,  10,  20,0.6999
1986,  10,  21,0.5523
1986,  10,  22,0.5847
1986,  10,  23,0.2673
1986,  10,  24,0.0737
1986,  10,  25,0.7970
1986,  10,  26,0.5451
1986,  10,  27,0.7898
1986,  10,  28,0.6341
1986,  10,  29,0.8101
1986,  10,  30,1.7618
1986,  10,  31,3.2501
1986,  11,   1,0.2623
1986,  11,   2,0.2147
1986,  11,   3,0.4995
1986,  11,   4,0.4920
1986,  11,   5,0.4605
1986,  11,   6,0.8638
1986,  11,   7,1.1100
1986,  11,   8,2.5170
1986,  11,   9,0.6141
1986,  11,  10,0.3509
1986,  11,  11,0.1124
1986,  11,  12,0.0656
1986,  11,  13,-0.0459
1986,  11,  14,-0.4362
1986,  11,  15,-0.0759
1986,  11,  16,0.0699
1986,  11,  17,-0.2555
1986,  11,  18,-0.1213
1986,  11,  19,1.3019
1986,  11,  20,1.3415
1986,  11,  21,3.8842
1986,  11,  22,2.9343
1986,  11,  23,1.0370
1986,  11,  24,0.7178
1986,  11,  25,2.9145
1986,  11,  26,0.2867
1986,  11,  27,0.0881
1986,  11,  28,0.8684
1986,  11,  29,2.6507
1986,  11,  30,1.1188
1986,  12,   1,0.0932
1986,  12,   2,0.0435
1986,  12,   3,0.0027
1986,  12,   4,-0.0879
1986,  12,   5,-0.1111
1986,  12,   6,0.5310
1986,  12,   7,0.8482
1986,  12,   8,0.3333
1986,  12,   9,0.2377
1986,  12,  10,0.1535
1986,  12,  11,0.1776
1986,  12,  12,0.0857
1986,  12,  13,0.4063
1986,  12,  14,0.7237
1986,  12,  15,-0.1761
1986,  12,  16,-0.5663
1986,  12,  17,0.0025
1986,  12,  18,-0.1288
1986,  12,  19,0.1550
1986,  12,  20,0.9324
1986,  12,  21,0.3651
1986,  12,  22,0.2729
1986,  12,  23,1.3444
1986,  12,  24,1.2042
1986,  12,  25,0.9192
1986,  12,  26,0.3261
1986,  12,  27,0.5351
1986,  12,  28,0.4949
1986,  12,  29,0.2790
1986,  12,  30,0.0336
1986,  12,  31,0.2987
1987,   1,   1,0.7135
1987,   1,   2,0.9336
1987,   1,   3,-0.2413
1987,   1,   4,-0.2553
1987,   1,   5,2.1116
1987,   1,   6,0.4109
1987,   1,   7,0.7972
1987,   1,   8,0.5735
1987,   1,   9,0.3678
1987,   1,  10,0.0375
1987,   1,  11,0.0668
