year,month,day,Upwelling (m^2/s)
1990,   6,  29,1.1372
1990,   6,  30,1.1119
1990,   7,   1,1.1015
1990,   7,   2,1.0852
1990,   7,   3,1.2383
1990,   7,   4,0.2651
1990,   7,   5,0.0968
1990,   7,   6,0.7024
1990,   7,   7,0.8401
1990,   7,   8,0.4210
1990,   7,   9,0.0763
1990,   7,  10,0.0583
1990,   7,  11,0.3372
1990,   7,  12,1.0402
1990,   7,  13,0.7208
1990,   7,  14,0.3315
1990,   7,  15,0.0229
1990,   7,  16,-0.1368
1990,   7,  17,0.0456
1990,   7,  18,0.4637
1990,   7,  19,0.5496
1990,   7,  20,0.4964
1990,   7,  21,0.2915
1990,   7,  22,0.3735
1990,   7,  23,0.5832
1990,   7,  24,0.3453
1990,   7,  25,0.3086
1990,   7,  26,0.1296
1990,   7,  27,0.0381
1990,   7,  28,0.0408
1990,   7,  29,0.0343
1990,   7,  30,0.0370
1990,   7,  31,0.1436
1990,   8,   1,0.1360
1990,   8,   2,-0.1410
1990,   8,   3,-0.1265
1990,   8,   4,0.0482
1990,   8,   5,0.8473
1990,   8,   6,0.8211
1990,   8,   7,0.0265
1990,   8,   8,-0.0048
1990,   8,   9,-0.0007
1990,   8,  10,0.0205
1990,   8,  11,0.3380
1990,   8,  12,1.1004
1990,   8,  13,1.0825
1990,   8,  14,0.5876
1990,   8,  15,0.2131
1990,   8,  16,0.3486
1990,   8,  17,0.4100
1990,   8,  18,0.3759
1990,   8,  19,0.4486
1990,   8,  20,0.2391
1990,   8,  21,0.1309
1990,   8,  22,0.6502
1990,   8,  23,0.4964
1990,   8,  24,0.4502
1990,   8,  25,0.1045
1990,   8,  26,-0.3472
1990,   8,  27,-0.2568
1990,   8,  28,0.2057
1990,   8,  29,0.5335
1990,   8,  30,0.4242
1990,   8,  31,0.4837
1990,   9,   1,0.9621
1990,   9,   2,0.7267
1990,   9,   3,0.5098
1990,   9,   4,0.2854
1990,   9,   5,0.0752
1990,   9,   6,0.3054
1990,   9,   7,0.5872
1990,   9,   8,0.6239
1990,   9,   9,0.8140
